SKU,EAN,NOMBRE,ESTADO,COMPRA,BR_GLS,BR_UPS,MARGEN_FR,NETO_ES_PT,PVP_ES(21%),PVP_PT(23%),PVP_DE(19%),PVP_FR(20%),PVP_IT(22%),"PVP_BX(21%,env.incl)","PVP_EU(ref21%,SIN env.)"
DUPLEX36,5060252080866,Thetford Horno-Grill Duplex 36 L,NO PUBLICADO,300.0,0-1,0-1,0.25,419.63,507.75,516.15,13.95,14.07,14.32,516.47,501.47
T1090,6911751SP,Thetford Nevera Compresor T1090 de 90 L,NO PUBLICADO,300.0,0-1,0-1,0.25,419.63,507.75,516.15,13.95,14.07,14.32,516.47,501.47
1FT500009-1,3285052747234,Gato 12 Tns Perfil Bajo,NO PUBLICADO,28.82,6-7,6-7,0.25,48.18,58.3,59.26,65.98,66.56,67.7,71.17,48.63
1FL002360,5903314045017,Deposito Metàlico 10 Lts.,NO PUBLICADO,23.31,3-4,3-4,0.25,39.75,48.1,48.89,55.46,55.94,56.91,58.63,39.43
1FL002361,5903314045024,Deposito Metàlico 20 Lts.,NO PUBLICADO,23.98,4-5,5-6,0.25,40.68,49.22,50.03,58.04,58.54,59.55,63.09,40.55
1FT340125,3700004401076,Juego Pinzas 16 mm,NO PUBLICADO,36.86,2-3,2-3,0.25,57.2,69.22,70.36,75.95,76.61,77.93,79.25,62.05
1FT305047,3700660403155,Juego Pinzas 25 mm,NO PUBLICADO,50.54,2-3,2-3,0.25,76.08,92.06,93.58,98.4,99.25,100.97,102.1,84.9
DCU1000PU,8436556989599,DCU Inversor corriente Onda Pura 1000W,NO PUBLICADO,172.02,4-5,4-5,0.25,229.17,277.3,281.88,299.55,302.15,307.37,306.96,287.76
DCU1500PU,8436556989605,DCU Inversor corriente Onda Pura 1500W,NO PUBLICADO,252.48,4-5,4-5,0.25,333.05,402.98,409.65,431.61,435.36,442.88,441.32,422.12
DCU2000PU,8436556989612,DCU Inversor corriente Onda Pura 2000W,NO PUBLICADO,318.18,5-6,5-6,0.25,418.64,506.55,514.92,540.93,545.63,555.04,554.38,531.83
995756,8710315995756,Thetford Fresh Up Carry Bag,NO PUBLICADO,16.77,0-1,0-1,0.25,25.26,30.57,31.07,41.48,41.84,42.56,43.5,28.51
NT-1345,8719076054344,Victron Energy GX Touch 70,NO PUBLICADO,207.6,0-1,0-1,0.135,252.1,305.04,310.08,306.14,308.79,314.09,312.56,299.62
NT-1218,8719076020073,Victron Energy BMV-700 Monitor de Batería,NO PUBLICADO,63.6,1-2,1-2,0.135,81.22,98.27,99.9,103.43,104.32,106.12,106.94,92.09
15939712,8032733970876,Campana Extractora Negra,NO PUBLICADO,105.93,1-2,1-2,0.15,134.03,162.17,164.86,166.37,167.81,170.69,171.0,155.88
15939713,8051277601267,Campana Extractora Inox,NO PUBLICADO,123.74,1-2,1-2,0.15,155.63,188.31,191.42,192.06,193.72,197.05,197.13,182.02
84200,8056446670033,Daken Saturn Evo Single,,50.0,1-2,1-2,0.296,82.64,99.99,101.64,100.0,105.03,99.99,108.06,89.69
84201,8056446670040,Daken Saturn Evo Double,,99.0,2-3,2-3,0.3552,152.88,184.98,188.04,184.95,209.96,185.01,214.11,193.99
84020,8056446671931,Daken Saturn Go Black Single,,45.0,0-1,0-1,0.333,81.82,99.01,100.64,95.02,100.03,98.99,102.37,85.43
84021,8056446671948,Daken Saturn Go Black Double,,88.0,1-2,1-2,0.3902,147.95,179.03,181.98,174.97,199.95,179.01,204.15,182.83
84010,8056446671900,Daken Saturn Go White Single,,45.0,0-1,0-1,0.333,81.82,99.01,100.64,99.01,100.03,98.99,102.37,85.43
84011,8056446671917,Daken Saturn Go White Double,,88.0,1-2,1-2,0.3902,147.95,179.03,181.98,179.02,199.95,174.98,204.15,182.83
84000,8056446671870,Daken Saturn Go Gris Single,,43.0,0-1,0-1,0.324,78.49,94.97,96.54,95.01,94.96,95.0,97.23,80.53
84001,8056446671887,Daken Saturn Go Gris Double,,85.0,1-2,1-2,0.3785,144.59,174.96,177.85,174.99,189.99,175.0,194.06,173.15
84400,8056446670910,Daken Blackstone Silver Slam Single,,75.0,2-3,2-3,0.276,119.85,145.01,147.41,145.05,144.95,129.96,148.26,130.42
84401,8056446670927,Daken Blackstone Silver Slam Double,,140.0,4-5,4-5,0.33,231.39,279.98,284.61,280.01,280.05,280.04,284.95,263.37
84410,8056446670941,Daken Blackstone Silver Combo Single,,80.0,2-3,2-3,0.3245,136.39,165.03,167.76,164.96,164.99,149.96,168.63,149.46
84411,8056446670958,Daken Blackstone Silver Combo Double,,150.0,4-5,4-5,0.3328,247.96,300.03,304.99,300.03,299.96,300.02,305.05,283.37
84100,8056446670002,Daken Noval Single,,54.0,1-2,1-2,0.3895,107.43,129.98,132.13,129.99,130.01,130.04,133.6,112.3
84101,8056446670019,Daken Noval Double,,108.0,2-3,2-3,0.3877,198.36,240.02,243.99,239.98,239.98,239.98,244.52,223.28
NT-1210,8719076050353,Victron Energy SmartSolar MPPT 150V 100 amperios 12/24/36/48-Voltios,,331.2,5-6,5-6,0.2,435.45,526.89,535.6,526.02,530.58,539.72,538.93,517.84
